"","Category","Item","Option","Price","Cost","Modifier","Unavailable Online Store","Description Online Store","VAT Exempt"
"1","01 MATCHA LATTES","SIGNATURE MATCHA LATTE","REG","220","","1","false","","false"
"2","01 MATCHA LATTES","CLASSIC MATCHA LATTE","REG","230","","1","false","","false"
"3","01 MATCHA LATTES","SPANISH MATCHA LATTE","REG","240","","1","false","","false"
"4","01 MATCHA LATTES","MATCHA SEASALT LATTE","REG","250","","1","false","","false"
"5","01 MATCHA LATTES","STRAWBERRY MATCHA LATTE","REG","250","","1","false","","false"
"6","01 MATCHA LATTES","WHITE CHOCOLATE MATCHA LATTE","REG","250","","1","false","","false"
"7","01 MATCHA LATTES","EARL GREY MATCHA LATTE","REG","250","","1","false","","false"
"8","02 MATCHA LITE","MATCHA TEA","REG","200","","1","false","","false"
"9","02 MATCHA LITE","MATCHA DALANDAN","REG","210","","1","false","","false"
"10","02 MATCHA LITE","MATCHA COCONUT","REG","210","","1","false","","false"
"11","03 MATCHA SPECIALS","MATCHA EINSPANNER","REG","290","","1","false","","false"
"12","03 MATCHA SPECIALS","MATCHA CLOUD","REG","270","","1","false","","false"
"13","03 MATCHA SPECIALS","MATCHA FLOAT","REG","290","","1","false","","false"
"14","03 MATCHA SPECIALS","MATCHA TIRAMISU LATTE","REG","290","","1","false","","false"
"15","03 MATCHA SPECIALS","MATCHA BANOFFEE LATTE","REG","270","","1","false","","false"
"16","04 COFFEE","AMERICANO","REG","140","","1","false","","false"
"17","04 COFFEE","KYOTO LATTE","REG","160","","1","false","","false"
"18","04 COFFEE","SPANISH LATTE","REG","180","","1","false","","false"
"19","04 COFFEE","MATCHA ESPRESSO","REG","240","","1","false","","false"
"20","05 BEYOND MATCHA","HOJICHA LATTE","REG","190","","1","false","","false"
"21","05 BEYOND MATCHA","GENMAICHA LATTE","REG","190","","1","false","","false"
"22","06 SPECIALTY MATCHA","Yamamasa Koyamaen - Ogurayama","Usucha","255","","1","false","","false"
"23","06 SPECIALTY MATCHA","Yamamasa Koyamaen - Ogurayama","Classic Latte","295","","1","false","","false"
"24","06 SPECIALTY MATCHA","Yamamasa Koyamaen - Ogurayama","Cold Whisked","305","","1","false","","false"
"25","06 SPECIALTY MATCHA","Ippodo - Sayaka No Mukashi","Usucha","280","","1","false","","false"
"26","06 SPECIALTY MATCHA","Ippodo - Sayaka No Mukashi","Classic Latte","330","","1","false","","false"
"27","06 SPECIALTY MATCHA","Ippodo - Sayaka No Mukashi","Cold Whisked","340","","1","false","","false"
"28","06 SPECIALTY MATCHA","Ippodo - Seiun","Usucha","290","","1","false","","false"
"29","06 SPECIALTY MATCHA","Ippodo - Seiun","Classic Latte","340","","1","false","","false"
"30","06 SPECIALTY MATCHA","Ippodo - Seiun","Cold Whisked","350","","1","false","","false"
"31","06 SPECIALTY MATCHA","Ippodo - Ummon","Usucha","360","","1","false","","false"
"32","06 SPECIALTY MATCHA","Ippodo - Ummon","Classic Latte","410","","1","false","","false"
"33","06 SPECIALTY MATCHA","Ippodo - Ummon","Cold Whisked","420","","1","false","","false"
"34","06 SPECIALTY MATCHA","Marukyu Koyamaen - Aoarashi","Usucha","265","","1","false","","false"
"35","06 SPECIALTY MATCHA","Marukyu Koyamaen - Aoarashi","Classic Latte","315","","1","false","","false"
"36","06 SPECIALTY MATCHA","Marukyu Koyamaen - Aoarashi","Cold Whisked","325","","1","false","","false"
"37","06 SPECIALTY MATCHA","Marukyu Koyamaen - Isuzu","Usucha","280","","1","false","","false"
"38","06 SPECIALTY MATCHA","Marukyu Koyamaen - Isuzu","Classic Latte","325","","1","false","","false"
"39","06 SPECIALTY MATCHA","Marukyu Koyamaen - Isuzu","Cold Whisked","330","","1","false","","false"
"40","06 SPECIALTY MATCHA","Marukyu Koyamaen - Wako","Usucha","360","","1","false","","false"
"41","06 SPECIALTY MATCHA","Marukyu Koyamaen - Wako","Classic Latte","410","","1","false","","false"
"42","06 SPECIALTY MATCHA","Marukyu Koyamaen - Wako","Cold Whisked","420","","1","false","","false"
"43","06 SPECIALTY MATCHA","Yugen - 0","Usucha","240","","1","false","","false"
"44","06 SPECIALTY MATCHA","Yugen - 0","Classic Latte","290","","1","false","","false"
"45","06 SPECIALTY MATCHA","Yugen - 0","Cold Whisked","300","","1","false","","false"
"46","06 SPECIALTY MATCHA","Yugen - 1","Usucha","250","","1","false","","false"
"47","06 SPECIALTY MATCHA","Yugen - 1","Classic Latte","300","","1","false","","false"
"48","06 SPECIALTY MATCHA","Yugen - 1","Cold Whisked","310","","1","false","","false"
"49","06 SPECIALTY MATCHA","Rocky s Matcha - Shiranami Blend","Usucha","490","","1","false","","false"
"50","06 SPECIALTY MATCHA","Rocky s Matcha - Shiranami Blend","Classic Latte","540","","1","false","","false"
"51","06 SPECIALTY MATCHA","Rocky s Matcha - Shiranami Blend","Cold Whisked","550","","1","false","","false"
"52","06 SPECIALTY MATCHA","Rocky s Matcha - Okumidori","Usucha","500","","1","false","","false"
"53","06 SPECIALTY MATCHA","Rocky s Matcha - Okumidori","Classic Latte","590","","1","false","","false"
"54","06 SPECIALTY MATCHA","Rocky s Matcha - Okumidori","Cold Whisked","600","","1","false","","false"
"55","06 SPECIALTY MATCHA","Rocky s Matcha - Kogacha Blend","Usucha","580","","1","false","","false"
"56","06 SPECIALTY MATCHA","Rocky s Matcha - Kogacha Blend","Classic Latte","620","","1","false","","false"
"57","06 SPECIALTY MATCHA","Rocky s Matcha - Kogacha Blend","Cold Whisked","630","","1","false","","false"
"58","06 SPECIALTY MATCHA","Horii Shichimeien - Uji Mukashi","Usucha","305","","1","false","","false"
"59","06 SPECIALTY MATCHA","Horii Shichimeien - Uji Mukashi","Classic Latte","355","","1","false","","false"
"60","06 SPECIALTY MATCHA","Horii Shichimeien - Uji Mukashi","Cold Whisked","365","","1","false","","false"
"61","06 SPECIALTY MATCHA","Horii Shichimeien - Agata no Mukashi","Usucha","330","","1","false","","false"
"62","06 SPECIALTY MATCHA","Horii Shichimeien - Agata no Mukashi","Classic Latte","380","","1","false","","false"
"63","06 SPECIALTY MATCHA","Horii Shichimeien - Agata no Mukashi","Cold Whisked","390","","1","false","","false"
"64","06 SPECIALTY MATCHA","Nakamura Tokichi - Fuji No Shiro","Usucha","250","","1","false","","false"
"65","06 SPECIALTY MATCHA","Nakamura Tokichi - Fuji No Shiro","Classic Latte","300","","1","false","","false"
"66","06 SPECIALTY MATCHA","Nakamura Tokichi - Fuji No Shiro","Cold Whisked","310","","1","false","","false"
"67","06 SPECIALTY MATCHA","Nakamura Tokichi - Seikan No Shiro","Usucha","305","","1","false","","false"
"68","06 SPECIALTY MATCHA","Nakamura Tokichi - Seikan No Shiro","Classic Latte","355","","1","false","","false"
"69","06 SPECIALTY MATCHA","Nakamura Tokichi - Seikan No Shiro","Cold Whisked","365","","1","false","","false"
