"Day","Total","No. of Transactions","No. of Items","Discounts on Items","Discounts on Subtotal","Cost","Expense","Profit","Card","Cash","GiftCard","Grab","MarketingPullOut","QRPh"
"31 Jan 2026","35862.85","101","139","198.21","0","0","3268.04","32594.81","5798.57","13685.71","0","8550","0","7828.57"
"30 Jan 2026","29350.01","78","120","387.48","0","7","4194.7","25148.31","7681.43","5760.01","0","9600","0","6308.57"
"29 Jan 2026","28779.99","92","119","466.07","96.43","0","9699","19080.99","11688.57","5302.85","0","4480","0","7308.57"
"28 Jan 2026","27948.58","73","112","814.63","0","0","2961","24987.58","8447.14","4935.72","0","8880","0","5685.72"
"27 Jan 2026","22409.99","65","92","316.07","133.93","8","7696","14705.99","9201.43","2778.56","0","8230","0","2200"
"26 Jan 2026","21817.15","65","85","53.57","98.21","0","305","21512.15","4420","1950","540","10100","0","4807.15"
"25 Jan 2026","32276.28","85","132","511.57","0","0","1804","30472.28","12571.43","6618.57","0","6920","0","6166.28"
"24 Jan 2026","33403.85","114","142","859.71","25","0","1860.5","31543.35","10249.57","10918.57","0","6690","0","5545.71"
"23 Jan 2026","33163.72","97","136","558.42","0","8","5873.7","27282.02","10625.15","7087.14","0","6690","0","8761.43"
"22 Jan 2026","25244.29","74","109","473.57","250","14","6280","18950.29","5475.72","4510","0","9900","0","5358.57"
"21 Jan 2026","24975.13","67","98","276.29","0","0","0","24975.13","9436.56","2668.57","0","6180","0","6690"
"20 Jan 2026","23375.7","78","100","230.35","253.57","8","1343","22024.7","10181.42","3574.28","0","4850","0","4770"
"19 Jan 2026","17864.29","59","72","0","191.06","0","4420","13444.29","3437.14","2277.15","360","7000","0","4790"
"18 Jan 2026","23504.29","68","101","593.56","0","0","2413","21091.29","6838.57","6462.86","0","6610","0","3592.86"
"17 Jan 2026","37905.86","101","154","649.71","253","7","698","37200.86","13052.86","6600","0","8400","0","9853"
"16 Jan 2026","23240.29","65","100","304","933.57","15","1784.25","21441.04","6220.29","5350","0","6850","0","4820"
"15 Jan 2026","24214.57","76","100","265.42","48.21","0","9038.6","15175.97","6070","5640","150","5210","0","7144.57"
"14 Jan 2026","19969.86","54","83","193.71","45","0","11178","8791.86","8038.86","2676","0","5730","0","3525"
"13 Jan 2026","26754.28","83","114","426.79","214.28","0","5206.2","21548.08","10935.72","2531.42","360","5690","0","7237.14"
"12 Jan 2026","18444.57","54","73","94","44.64","0","3470","14974.57","8124.57","2860","0","2820","0","4640"
"11 Jan 2026","32350.57","86","129","400.13","0","8","2920.5","29422.07","14378.57","9322","0","4470","0","4180"
"10 Jan 2026","37553","107","155","907","590","8","615","36930","9608","11222","0","9490","0","7233"
"9 Jan 2026","25024","73","101","351","685","8","8761","16255","7895","6299","1070","7130","0","2630"
"8 Jan 2026","14867.14","48","63","89.28","440","0","7062.02","7805.12","4480","3667.14","0","3760","0","2960"
"7 Jan 2026","20220.86","55","86","290.21","340","14","3101.02","17105.84","4432.86","6220","0","6070","0","3498"
"6 Jan 2026","22395.71","61","92","373.93","0","0","2656","19739.71","4438.57","4647.14","0","7900","0","5410"
"5 Jan 2026","17398","54","70","368.43","53.57","0","3384.3","14013.7","5799.14","5116","180","4280","0","2022.86"
"4 Jan 2026","24465.71","64","95","133.93","0","8","340","24117.71","7380","4610","0","7000","0","5475.71"
"3 Jan 2026","29531.14","82","122","336","951.79","31.5","695","28804.64","11109.14","7440","0","5300","0","5682"
"2 Jan 2026","21204.59","69","93","490.78","1012.85","14","8881","12309.59","6549.15","5104.29","0","3090","0","6461.15"
"1 Jan 2026","14041.71","41","58","375.42","50","0","1238","12803.71","1817.43","6129.99","0","1980","0","4114.29"
